NOME;FASE;TURMA;ANO_INGRESSO;BOLSISTA;INDE;CG;CF;CT;PEDRA;DESTAQUE_IEG;DESTAQUE_IDA;DESTAQUE_IPV;IAA;IEG;IPS;IDA;NOTA_PORT;NOTA_MAT;NOTA_ING;QTD_AVAL;IPP;REC_AVA_1;REC_AVA_2;REC_AVA_3;REC_AVA_4;INDICADO_BOLSA;PONTO_VIRADA;IPV;IAN;NIVEL_IDEAL;ANO
ALUNO-2;0.0;K;2022.0;Não;7.675509353106849;245.0;66.0;6.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;10.00002;7.58170509886757;7.5;8.816666666666666;8.200000000000001;9.433333333333334;;2.0;5.625;Mantido na Fase + Bolsa;Mantido na Fase atual;;;Sim;Não;7.916665;5.0;Fase 2 (5º e 6º ano);2022
ALUNO-4;2.0;J;2022.0;Não;7.117065047619048;451.0;69.0;3.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;10.00002;8.071428571428571;7.5;5.083333333333334;5.0;5.166666666666667;;3.0;6.25;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;;Não;Não;8.055553333333334;5.0;Fase 3 (7º e 8º ano);2022
ALUNO-5;2.0;L;2019.0;Não;7.232336307992202;415.0;61.0;12.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;6.41668;8.557504873294347;7.5;7.083333333333334;6.666666666666667;7.5;;3.0;6.458333333333334;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;;Não;Não;7.833336666666667;5.0;Fase 3 (7º e 8º ano);2022
ALUNO-6;2.0;K;2022.0;Não;7.741668666666667;221.0;35.0;2.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;9.000020000000001;9.333333333333332;7.5;5.5;3.0;8.0;;3.0;6.25;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;;Não;Não;7.5;10.0;Fase 2 (5º e 6º ano);2022
ALUNO-7;1.0;U;2022.0;Não;7.406743477025898;357.0;93.0;7.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;10.00002;9.314954051796157;7.5;5.583333333333334;4.666666666666667;6.5;;2.0;5.9375;Promovido de Fase;Promovido de Fase;;;Não;Não;7.91667;5.0;Fase 2 (5º e 6º ano);2022
ALUNO-8;5.0;K;2017.0;Sim;7.289795442501942;397.0;26.0;6.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;9.16668;8.268065268065268;5.0;7.144444444444445;6.5;7.666666666666667;7.266666666666667;4.0;7.65625;Promovido de Fase + Bolsa;Mantido na Fase atual;Promovido de Fase + Bolsa;Promovido de Fase;Não;Não;7.6250025;5.0;Fase 6 (2º EM);2022
ALUNO-9;0.0;Z;2022.0;Não;5.665746204655248;767.0;184.0;9.0;Quartzo;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;9.000020000000001;6.820377689942907;5.0;2.133333333333333;2.466666666666667;1.8;;2.0;3.75;Mantido na Fase atual;Mantido na Fase atual;;;Não;Não;5.50001;10.0;ALFA  (2º e 3º ano);2022
ALUNO-11;1.0;A;2020.0;Sim;8.464686539682539;40.0;5.0;1.0;Topázio;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;8.000020000000001;9.198412698412698;7.5;9.833333333333332;10.0;9.666666666666666;;3.0;7.083333333333332;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase + Bolsa;;Não;Sim;9.50001;5.0;Fase 2 (5º e 6º ano);2022
ALUNO-16;1.0;P;2022.0;Não;6.995504201058202;489.0;129.0;9.0;Ágata;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;8.500020000000001;9.33862433862434;6.875;6.333333333333334;5.5;7.166666666666667;;3.0;4.791666666666666;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;;Não;Não;6.722219999999999;5.0;Fase 2 (5º e 6º ano);2022
ALUNO-17;1.0;G;2018.0;Não;6.723325934837093;580.0;142.0;6.0;Ágata;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;9.50002;6.647869674185464;7.5;5.5;4.333333333333333;6.666666666666667;;2.0;5.9375;Mantido na Fase atual;Promovido de Fase;;;Não;Não;7.5;5.0;Fase 3 (7º e 8º ano);2022
