IAA;IEG;IPS;IDA;IPP;IPV;IAN;INDE;INDICADO_BOLSA
10.00002;7.58170509886757;7.5;8.816666666666666;5.625;7.916665;5.0;7.675509353106849;1
10.00002;8.071428571428571;7.5;5.083333333333334;6.25;8.055553333333334;5.0;7.117065047619048;0
6.41668;8.557504873294347;7.5;7.083333333333334;6.458333333333334;7.833336666666667;5.0;7.232336307992202;0
9.000020000000001;9.333333333333332;7.5;5.5;6.25;7.5;10.0;7.741668666666667;0
10.00002;9.314954051796157;7.5;5.583333333333334;5.9375;7.91667;5.0;7.406743477025898;0
9.16668;8.268065268065268;5.0;7.144444444444445;7.65625;7.6250025;5.0;7.289795442501942;0
9.000020000000001;6.820377689942907;5.0;2.133333333333333;3.75;5.50001;10.0;5.665746204655248;0
8.000020000000001;9.198412698412698;7.5;9.833333333333332;7.083333333333332;9.50001;5.0;8.464686539682539;0
8.500020000000001;9.33862433862434;6.875;6.333333333333334;4.791666666666666;6.722219999999999;5.0;6.995504201058202;0
9.50002;6.647869674185464;7.5;5.5;5.9375;7.5;5.0;6.723325934837093;0
0.0;6.287640056022409;8.125;5.222222222222222;7.8125;7.2499975;5.0;5.845721955648926;1
10.00002;9.054621848739496;7.5;7.466666666666667;6.666666666666666;8.111113333333334;5.0;7.843149036414566;0
10.00002;9.552042160737813;7.5;8.466666666666667;5.625;8.5;10.0;8.616243765480895;0
7.91667;5.649085968379447;5.0;5.166666666666667;7.03125;6.222216666666668;2.5;5.652385860342557;0
8.000020000000001;8.982056590752244;7.5;9.25;4.6875;7.166665;10.0;8.098496318150449;0
8.000020000000001;7.7986963456071;7.5;9.25;6.5625;8.333335;5.0;7.78265826912142;0
10.00002;9.320987654320987;6.875;6.75;6.458333333333333;8.611119999999998;10.0;8.26975686419753;1
7.50002;8.346320346320347;7.5;9.1;3.125;8.249995;10.0;7.95176506926407;0
9.000020000000001;8.721340388007054;7.5;9.166666666666666;5.9375;7.083335;5.0;7.738020410934745;0
9.000020000000001;6.493506493506493;7.5;4.583333333333333;5.625;7.111109999999999;5.0;6.350091965367965;0
0.0;4.832296380090497;7.5;5.777777777777778;6.71875;5.7083325;2.5;4.935556331573656;0
10.00002;9.005163410197735;7.5;9.1;5.625;8.250005;5.0;8.083535682039548;1
6.91668;7.317867317867318;7.5;7.466666666666667;5.3125;6.666665;10.0;7.263157796906798;0
7.91667;8.333333333333334;7.5;4.0;7.34375;7.75;5.0;6.792708666666667;1
7.5;7.056167617548691;7.5;6.111111111111111;7.5;6.41666;5.0;6.666787745731961;0
5.83333;8.074712643678161;6.25;5.877777777777777;7.96875;7.7916675;5.0;6.854039584291188;1
8.500020000000001;9.041585445094215;7.5;7.333333333333333;6.25;7.777779999999999;5.0;7.55554175568551;0
9.16668;6.721726190476191;6.25;5.666666666666667;7.34375;7.20833;5.0;6.695387571428572;1
9.000020000000001;3.148809523809524;7.5;2.5;0.0;2.50001;10.0;4.279765904761905;0
7.916679999999999;9.166666666666666;6.25;5.0;6.25;6.777773333333332;5.0;6.730556;0
8.500020000000001;9.082456140350876;7.5;5.0;6.041666666666667;6.888883333333333;10.0;7.398436561403509;0
8.500020000000001;10.0;7.5;7.416666666666666;6.25;7.222223333333333;5.0;7.65278;0
5.41667;3.803571428571429;6.25;0.0;5.625;4.625;5.0;3.914881285714285;0
9.50002;10.0;7.5;8.166666666666666;6.5625;9.250005;5.0;8.339586333333333;0
0.0;4.630580097651709;7.5;3.055555555555556;5.625;5.5833325;10.0;4.966393630641453;0
9.000020000000001;9.203448275862067;7.5;5.083333333333334;5.625;6.91666;5.0;6.953190321839081;0
0.0;3.597794117647059;5.0;0.4444444444444445;3.28125;4.500003333333333;5.0;3.036573379084968;0
7.91667;7.991071428571429;7.5;6.888888888888889;8.125;7.374995;5.0;7.305158063492064;1
8.33334;4.129901960784314;5.625;4.044444444444444;7.96875;7.277773333333332;5.0;5.783132947712418;1
10.00002;7.787878787878788;7.5;2.5;6.25;7.38889;5.0;6.410355757575758;0
9.50002;8.544103313840155;5.625;5.083333333333334;5.625;6.91666;5.0;6.683821329434698;0
8.75001;3.611111111111112;7.5;2.833333333333333;4.84375;3.8333325;5.0;4.664931388888889;0
10.00002;9.555555555555555;5.625;8.166666666666666;6.25;8.777783333333334;5.0;7.987503111111112;0
6.66667;5.784722222222221;7.5;7.777777777777779;7.34375;6.5416625;10.0;7.171874500000001;0
9.000020000000001;7.88220551378446;5.0;5.583333333333333;5.9375;7.916665;5.0;6.770192769423559;0
10.00002;7.545642763034067;7.5;7.883333333333333;5.625;8.5;5.0;7.598297219273481;1
10.00002;8.833333333333332;7.5;6.5;6.666666666666666;8.61111;10.0;8.205557333333335;0
