texto;categoria
O atendimento foi péssimo.;negativo
Produto de baixa qualidade.;negativo
Muito insatisfeito com a compra.;negativo
Demorou muito para chegar.;negativo
Chegou quebrado e não funciona.;negativo
Nunca mais compro dessa loja.;negativo
Não recomendo a ninguém.;negativo
Suporte ao cliente é horrível.;negativo
Péssima experiência de compra.;negativo
Produto diferente do anunciado.;negativo
Qualidade muito inferior ao esperado.;negativo
Recebi um produto usado.;negativo
Comprei e não recebi.;negativo
Propaganda enganosa.;negativo
Falta de respeito com o cliente.;negativo
Decepcionado com o serviço.;negativo
Faltou peça no pedido.;negativo
Site confuso e mal feito.;negativo
Pagamento não foi processado.;negativo
Cancelaram meu pedido sem motivo.;negativo
Produto veio danificado.;negativo
Não vale o preço.;negativo
Atendimento ao cliente ineficaz.;negativo
Produto chegou com defeito.;negativo
Entrega fora do prazo.;negativo
Não cumpriram o prometido.;negativo
Erro no processamento do pedido.;negativo
Muito barulhento.;negativo
Durou apenas um dia.;negativo
Fui enganado.;negativo
Imagem do produto não condiz.;negativo
Recebi o tamanho errado.;negativo
Mau cheiro no produto.;negativo
Produto veio sem instruções.;negativo
Material de baixa qualidade.;negativo
Serviço de instalação péssimo.;negativo
Produto muito frágil.;negativo
Veio com arranhões.;negativo
Falta de compromisso.;negativo
Experiência de compra frustrante.;negativo
Não corresponde à descrição.;negativo
Produto muito inferior.;negativo
Não funciona como esperado.;negativo
Produto não vale o investimento.;negativo
Defeito no primeiro uso.;negativo
Atendimento negligente.;negativo
Faltou um item na entrega.;negativo
Produto com manchas.;negativo
Produto não tem qualidade.;negativo
Produto muito caro pelo que oferece.;negativo
Suporte técnico ineficiente.;negativo
Produto veio com defeito de fábrica.;negativo
Não recomendo este produto.;negativo
Produto falsificado.;negativo
Muito insatisfeito com o serviço.;negativo
Embalagem chegou danificada.;negativo
Não resolveram meu problema.;negativo
Produto com validade vencida.;negativo
Recebi um produto errado.;negativo
Problema com a entrega.;negativo
Produto não durou uma semana.;negativo
Faltam peças no produto.;negativo
Atendimento não resolveu nada.;negativo
Produto veio sem funcionar.;negativo
Comprei e nunca chegou.;negativo
Produto já veio usado.;negativo
Serviço deixou a desejar.;negativo
Recebi outro produto.;negativo
Produto veio com mau funcionamento.;negativo
Não gostei da qualidade.;negativo
Produto veio incompleto.;negativo
Não era o que esperava.;negativo
Produto de má qualidade.;negativo
Demora na entrega.;negativo
Produto veio avariado.;negativo
Não prestaram assistência.;negativo
Fui mal atendido.;negativo
Produto chegou atrasado.;negativo
Não cumpre o que promete.;negativo
Não fiquei satisfeito.;negativo
Produto chegou quebrado.;negativo
Recebi algo diferente.;negativo
Serviço muito negativo.;negativo
Produto de qualidade inferior.;negativo
Atendimento nada profissional.;negativo
Produto com defeito.;negativo
Produto não funciona direito.;negativo
Produto veio faltando peças.;negativo
Experiência de compra negativa.;negativo
Entrega demorou demais.;negativo
Não recomendaria.;negativo
Produto veio estragado.;negativo
Produto de má procedência.;negativo
Atendimento demorado.;negativo
Produto não correspondeu.;negativo
Recebi um produto com defeito.;negativo
Não gostei do atendimento.;negativo
Produto com problemas.;negativo
Produto chegou danificado.;negativo
Serviço decepcionante.;negativo
Produto não foi entregue.;negativo
Qualidade do produto negativo.;negativo
Recebi um produto de menor valor.;negativo
Produto veio amassado.;negativo
Não compraria de novo.;negativo
Produto de baixa durabilidade.;negativo
Produto mal embalado.;negativo
Atendimento ineficiente.;negativo
Recebi um produto quebrado.;negativo
Produto muito diferente da foto.;negativo
Entrega incompleta.;negativo
Produto não é como na descrição.;negativo
Produto danificado.;negativo
Atendimento não resolveu o problema.;negativo
Produto de baixa resistência.;negativo
Recebi um produto usado.;negativo
Fiquei desapontado.;negativo
Produto veio sujo.;negativo
Não tive uma boa experiência.;negativo
Produto não é de qualidade.;negativo
Recebi um produto menor.;negativo
Produto sem garantia.;negativo
Produto veio quebrado.;negativo
Atendimento lento.;negativo
Produto não funciona.;negativo
Produto de baixa performance.;negativo
Recebi algo inferior.;negativo
Produto veio danificado.;negativo
Recebi um produto negativo.;negativo
Produto não presta.;negativo
Produto com problemas técnicos.;negativo
Recebi um item errado.;negativo
Produto não funciona direito.;negativo
Recebi um produto com defeito.;negativo
Produto não corresponde.;negativo
Produto não vale o preço.;negativo
Produto muito frágil.;negativo
Recebi um produto usado.;negativo
Produto veio arranhado.;negativo
Produto não é de qualidade.;negativo
Produto com defeito de fábrica.;negativo
Produto não presta.;negativo
Recebi um produto inferior.;negativo
Produto veio amassado.;negativo
Não vale o investimento.;negativo
Produto de baixa durabilidade.;negativo
Produto chegou danificado.;negativo
Produto de baixa qualidade.;negativo
Recebi um produto quebrado.;negativo
Produto veio sujo.;negativo
Produto chegou com defeito.;negativo
Produto não funciona.;negativo
Recebi um produto com defeito.;negativo
Produto não corresponde à descrição.;negativo
Produto de baixa performance.;negativo
Recebi um item errado.;negativo
Produto não presta.;negativo
Produto veio arranhado.;negativo
Recebi um produto negativo.;negativo
Produto não corresponde.;negativo
Produto com defeito de fábrica.;negativo
Produto muito frágil.;negativo
