texto;categoria
tenho ótimas referências do Passos Mágico, muito positivos. Só queria ser respondida no Messenger ou no whatsapp, sobre critério de avaliação. Minha filha fez avaliação, não tive retorno, com certeza não foi selecionada pra uma vaga, mas queria entender o processo de avaliação e se tem chances ainda de vaga.;neutro
uma entidade se propõe à mudança através da educação e que tem o aval do Dom Geraldo pra mim é séria!;positivo
O futuro é construído com a educação e a passos mágicos faz isso é muito mais ! Leva magia e por onde passa trás esperança em cada um ...;positivo
Projeto maravilhoso que oferece aulas de português, matemática e inglês para crianças carentes,;positivo
minha filha acabou de entrar  nesse projeto. já conheço um pouco  do trabalho maravilhoso que e eles realizam. dano oportunidade  .de crescimento,  conhecimento, e realizações de grandes sonhos para nossas crianças   estou muito feliz  pela oportunidade que minha filha está tendo. agradeço a   Deus e a todos.  vcs  pelo  amor e carinho  que vcs tem para cm mossas crianças;positivo
o projeto tem contribuído e muito para o crescimento da minha filha e sobrinho. sou muito grata por isso. super bj;positivo
Gostei muito do Projeto ,com seriedade e realizações..Parabéns;positivo
De projeto...uma ONG! Exemplo para muitas pessoas, principalmente pela conduta dos idealizadores e dos voluntários. Realmente, tudo que o Brasil precisa: foco na educação!;positivo
Projeto sério realizado por uma equipe extremamente competente, consegue fazer um verdadeiro milagre, usando de forma criativa, todos os recursos que possui colocando muito amor em tudo que faz. Parabéns!!! Assim vamos REALMENTE mudar o BRASIL.;positivo
“A educação é a arma mais poderosa que você pode usar para mudar o mundo”. (Nelson Mandela);positivo
UM exemplo de instituição... estão de parabéns pelo belo trabalho.;positivo
Adorei conhecer esse projeto que acredita na mudança de mundo através da educação. Tive o privilégio de participar e conhecer "os futuros do Brasil".  Crianças com potenciais dando frutos com os incentivos do projeto.;positivo
